country,startIP,endIP,startIpNum,endIpNum
BR,131.72.40.0,131.72.43.255,2202544128,2202545151
BR,131.72.44.0,131.72.47.255,2202545152,2202546175
BR,131.72.48.0,131.72.51.255,2202546176,2202547199
BR,131.72.52.0,131.72.55.255,2202547200,2202548223
BR,131.72.56.0,131.72.59.255,2202548224,2202549247
BR,131.72.60.0,131.72.63.255,2202549248,2202550271
BR,131.72.64.0,131.72.67.255,2202550272,2202551295
BR,131.72.68.0,131.72.71.255,2202551296,2202552319
AR,131.72.72.0,131.72.75.255,2202552320,2202553343
TT,131.72.76.0,131.72.79.255,2202553344,2202554367
BR,131.72.80.0,131.72.83.255,2202554368,2202555391
BR,131.72.84.0,131.72.87.255,2202555392,2202556415
BR,131.72.88.0,131.72.91.255,2202556416,2202557439
BR,131.72.92.0,131.72.95.255,2202557440,2202558463
BR,131.72.96.0,131.72.99.255,2202558464,2202559487
BR,131.72.100.0,131.72.103.255,2202559488,2202560511
BR,131.72.104.0,131.72.107.255,2202560512,2202561535
BR,131.72.108.0,131.72.111.255,2202561536,2202562559
CW,131.72.112.0,131.72.115.255,2202562560,2202563583
BR,131.72.116.0,131.72.119.255,2202563584,2202564607
BR,131.72.120.0,131.72.123.255,2202564608,2202565631
BR,131.72.124.0,131.72.127.255,2202565632,2202566655
BR,131.72.128.0,131.72.131.255,2202566656,2202567679
AR,131.72.132.0,131.72.135.255,2202567680,2202568703
BZ,131.72.136.0,131.72.139.255,2202568704,2202569727
BR,131.72.140.0,131.72.143.255,2202569728,2202570751
BR,131.72.144.0,131.72.147.255,2202570752,2202571775
BR,131.72.148.0,131.72.151.255,2202571776,2202572799
BR,131.72.152.0,131.72.155.255,2202572800,2202573823
AR,131.72.156.0,131.72.159.255,2202573824,2202574847
BR,131.72.160.0,131.72.163.255,2202574848,2202575871
BR,131.72.164.0,131.72.167.255,2202575872,2202576895
VE,131.72.168.0,131.72.171.255,2202576896,2202577919
BR,131.72.172.0,131.72.175.255,2202577920,2202578943
BR,131.72.176.0,131.72.179.255,2202578944,2202579967
BR,131.72.180.0,131.72.183.255,2202579968,2202580991
BR,131.72.184.0,131.72.187.255,2202580992,2202582015
BR,131.72.188.0,131.72.191.255,2202582016,2202583039
BR,131.72.192.0,131.72.195.255,2202583040,2202584063
BR,131.72.196.0,131.72.199.255,2202584064,2202585087
BR,131.72.200.0,131.72.203.255,2202585088,2202586111
AR,131.72.204.0,131.72.207.255,2202586112,2202587135
HN,131.72.208.0,131.72.211.255,2202587136,2202588159
MX,131.72.212.0,131.72.215.255,2202588160,2202589183
BR,131.72.216.0,131.72.219.255,2202589184,2202590207
BR,131.72.220.0,131.72.223.255,2202590208,2202591231
PA,131.72.224.0,131.72.227.255,2202591232,2202592255
MX,131.72.228.0,131.72.231.255,2202592256,2202593279
CL,131.72.232.0,131.72.235.255,2202593280,2202594303
CL,131.72.236.0,131.72.239.255,2202594304,2202595327
AR,131.72.240.0,131.72.243.255,2202595328,2202596351
BR,131.72.244.0,131.72.247.255,2202596352,2202597375
BR,131.72.248.0,131.72.251.255,2202597376,2202598399
BR,131.72.252.0,131.72.255.255,2202598400,2202599423
PA,131.100.0.0,131.100.3.255,2204368896,2204369919
BR,131.100.4.0,131.100.7.255,2204369920,2204370943
BR,131.100.8.0,131.100.11.255,2204370944,2204371967
BR,131.100.12.0,131.100.15.255,2204371968,2204372991
BR,131.100.16.0,131.100.19.255,2204372992,2204374015
BR,131.100.20.0,131.100.23.255,2204374016,2204375039
BR,131.100.24.0,131.100.27.255,2204375040,2204376063
CL,131.100.28.0,131.100.31.255,2204376064,2204377087
BR,131.100.32.0,131.100.35.255,2204377088,2204378111
TT,131.100.36.0,131.100.39.255,2204378112,2204379135
BR,131.100.40.0,131.100.43.255,2204379136,2204380159
BR,131.100.44.0,131.100.47.255,2204380160,2204381183
BR,131.100.48.0,131.100.51.255,2204381184,2204382207
BR,131.100.52.0,131.100.55.255,2204382208,2204383231
BR,131.100.56.0,131.100.59.255,2204383232,2204384255
BR,131.100.60.0,131.100.63.255,2204384256,2204385279
AR,131.100.64.0,131.100.67.255,2204385280,2204386303
BR,131.100.68.0,131.100.71.255,2204386304,2204387327
BR,131.100.72.0,131.100.75.255,2204387328,2204388351
BR,131.100.76.0,131.100.79.255,2204388352,2204389375
BR,131.100.80.0,131.100.83.255,2204389376,2204390399
BR,131.100.84.0,131.100.87.255,2204390400,2204391423
AR,131.100.88.0,131.100.91.255,2204391424,2204392447
BR,131.100.92.0,131.100.95.255,2204392448,2204393471
BR,131.100.96.0,131.100.99.255,2204393472,2204394495
AR,131.100.100.0,131.100.103.255,2204394496,2204395519
BR,131.100.104.0,131.100.107.255,2204395520,2204396543
AR,131.100.108.0,131.100.111.255,2204396544,2204397567
BR,131.100.112.0,131.100.115.255,2204397568,2204398591
BR,131.100.116.0,131.100.119.255,2204398592,2204399615
BR,131.100.120.0,131.100.123.255,2204399616,2204400639
BR,131.100.124.0,131.100.127.255,2204400640,2204401663
BR,131.100.128.0,131.100.131.255,2204401664,2204402687
BR,131.100.132.0,131.100.135.255,2204402688,2204403711
BR,131.100.136.0,131.100.139.255,2204403712,2204404735
SV,131.100.140.0,131.100.143.255,2204404736,2204405759
BR,131.100.144.0,131.100.147.255,2204405760,2204406783
BR,131.100.148.0,131.100.151.255,2204406784,2204407807
BR,131.100.152.0,131.100.155.255,2204407808,2204408831
BR,131.100.156.0,131.100.159.255,2204408832,2204409855
TT,131.100.160.0,131.100.163.255,2204409856,2204410879
BR,131.100.164.0,131.100.167.255,2204410880,2204411903
BR,131.100.168.0,131.100.171.255,2204411904,2204412927
BR,131.100.172.0,131.100.175.255,2204412928,2204413951
BR,131.100.176.0,131.100.179.255,2204413952,2204414975
AR,131.100.180.0,131.100.183.255,2204414976,2204415999
PY,131.100.184.0,131.100.187.255,2204416000,2204417023
BR,131.100.188.0,131.100.191.255,2204417024,2204418047
BR,131.100.192.0,131.100.195.255,2204418048,2204419071
BR,131.100.196.0,131.100.199.255,2204419072,2204420095
BO,131.100.200.0,131.100.203.255,2204420096,2204421119
BR,131.100.204.0,131.100.207.255,2204421120,2204422143
BR,131.100.208.0,131.100.211.255,2204422144,2204423167
BR,131.100.212.0,131.100.215.255,2204423168,2204424191
